I(A)	Fluxo(g=0,1)	Fluxo(g=0.5)	Fluxo(g=0.05)	Fluxo(g=0,01)					I(A)	Fluxo(g=0.5)	Fluxo(g=0.01)	Fluxo(g=0.05)	Fluxo(g=0,1)
0	0	0	0	0					0	0	0	0	0
2	0,000492579	0,000156541	0,000831677	0,004556276					2	0,000156541	0,004556276	0,000831677	0,000492579
4	0,001017625	0,000313289	0,001848298	0,00955856					4	0,000313289	0,00955856	0,001848298	0,001017625
6	0,00157812	0,000470454	0,002926805	0,012555589					6	0,000470454	0,012555589	0,002926805	0,00157812
8	0,002153907	0,000628239	0,003997161	0,014368194					8	0,000628239	0,014368194	0,003997161	0,002153907
10	0,002732963	0,000786771	0,005055018	0,015573489					10	0,000786771	0,015573489	0,005055018	0,002732963
12	0,003311135	0,000946055	0,006104971	0,016638003					12	0,000946055	0,016638003	0,006104971	0,003311135
14	0,003887472	0,001106032	0,007149627	0,017663228					14	0,001106032	0,017663228	0,007149627	0,003887472
16	0,00446188	0,001266606	0,008183941	0,018670849					16	0,001266606	0,018670849	0,008183941	0,00446188
18	0,005034647	0,001427666	0,009193135	0,019667775					18	0,001427666	0,019667775	0,009193135	0,005034647
20	0,005606143	0,001589108	0,010166216	0,020656467					20	0,001589108	0,020656467	0,010166216	0,005606143
